# ['gamma', 'delta', 'b_0, b_1, b_2'], ['cte', 'a20', 'a01', 'a21', 'a10', 'a11', 'c1', 'c11']
-1.0528427323189762 0.34291871544357483 -7.071551354114353 0.031244182233811063 -4.025885836482496e-05 81.54068089431814 -7.925437698907144e-06 -0.5903416989186554 1.2144442564024395e-07 0.0008146796292209007 -0.001692071248520062 0.15078837986095683 0.0021049965721337913
-1.0403747136465589 0.3330572041543347 -7.820987948706328 0.036178422444968106 -4.657005313909139e-05 81.20088424150833 -7.336771114588404e-06 -0.5413829214764596 1.5432471254234772e-07 0.0007379129297973316 -0.0021098999551763704 0.15052232183224848 0.0020612115860307364
-1.067698531063689 0.3407995831698834 -7.661740753387881 0.03585918776951398 -4.797053950165406e-05 81.02605907292563 -7.667245102600484e-06 -0.47477380426813653 1.3603994989802499e-07 0.0007899455078227738 -0.0024976478173055947 0.16567670627300357 0.0019245970952587515
-0.9806983263545364 0.3145191001754263 -6.203962694687249 0.025192450136325536 -2.956457752439818e-05 80.72245675600203 -7.884187103827074e-06 -0.5321131652078044 1.7365533315968804e-07 0.0008489499195728297 -0.001461061280865355 0.18641301929631143 0.0018650337078722412
-0.9613026941137952 0.3110039967057548 -6.444547281388579 0.02672486288754 -3.140906717969686e-05 80.78527145029527 -7.97271363990118e-06 -0.5497468575811094 9.927952581293058e-08 0.0009146727116187343 -0.002107985028270235 0.1785074272067805 0.0020290254532403977
-1.0268436641382168 0.33572397577373425 -7.728631742091239 0.03517875108474705 -4.4804584175664277e-05 81.17921467215967 -7.223649820210273e-06 -0.4353771645046153 1.533056346900736e-07 0.0007153268502773077 -0.002509866043754528 0.17668248124764036 0.0020170321982051777
-0.9817333636227643 0.3215271923527756 -6.74016070799928 0.02789797331011383 -3.178804468052766e-05 81.49088934554011 -7.1147322903157915e-06 -0.5250395662837205 1.681229775348891e-07 0.0006855127861870617 -0.0019324414356427758 0.18831226014940158 0.0018160308922888918
-0.9649173773308932 0.31606520362017765 -6.3576892074513225 0.027611719842930482 -3.654859098945516e-05 81.28155568454945 -8.332414064789177e-06 -0.5230839520299686 1.4677058306930416e-07 0.0009500172877940002 -0.0013629599403039254 0.16796327550911563 0.0018936067091296122
-1.0173311096446076 0.33124412397905345 -6.724278239254608 0.028239993865815577 -3.3558654279153086e-05 81.26155950770126 -8.211360512800666e-06 -0.5727267927997036 1.1125703757454137e-07 0.0009305209703327269 -0.001963814180771943 0.1567915199217288 0.0020490419727095324
-0.9741000406191613 0.3205733351435129 -6.709345302136638 0.0288952199349156 -3.676471011688932e-05 81.04424768224271 -8.241232278357777e-06 -0.4508106483984405 1.1686705566317934e-07 0.0009571500118261255 -0.0025990605563470815 0.15116600993467827 0.0021206274782464484
-1.0166160611448767 0.3323391517344194 -6.812301904522368 0.029999253949404184 -3.919505664923842e-05 81.94361667387913 -7.520347564496373e-06 -0.5400862876170092 1.4357462548884802e-07 0.0007337623126850937 -0.001663894773252833 0.1747569796142434 0.0019123090645948703
-0.9438980538468018 0.308386237006139 -6.8801978264312105 0.030530314457388213 -3.8849895413541456e-05 80.4394173548805 -8.22773968509882e-06 -0.444164896692591 1.812702214191333e-07 0.0010069330018864535 -0.00259786225937818 0.17483785214362957 0.002011976262802867
-0.978282690704008 0.3195465905264092 -7.0970545854566875 0.031274691993579545 -4.005882036979068e-05 81.5215035094518 -8.167072399452866e-06 -0.51422597222786 2.3911784389819453e-07 0.00089659610547198 -0.0026367477194321814 0.16413733717096235 0.002049829517326839
-1.0212091845046767 0.3303490128136937 -5.88386075219095 0.021882542367566475 -2.2687304760715838e-05 80.79529078418388 -8.07840247855905e-06 -0.5154237926421879 2.8462622152305415e-07 0.0009375797585053137 -0.0017971179720080175 0.1649404114748729 0.002072349321091183
