# ['gamma', 'delta', 'b_0', 'b_1', 'muM', 'sigmaM'], ['D0', 'B', 'C', 'mu', 'sigma', 'a_01', 'a_11', 'a_21', 'c_01', 'c_11', 'd_11', 'L']
-1.409685493785616 0.3906551060013851 0.18196156787825726 0.9999999999377691 3397.9597736837623 1.6494659480522946 82.52525545125093 0.0031769241240313228 0.7539085189387074 218.34056161289965 0.8715464628421752 -0.6391782237564054 -0.00317322956260965 1.2687099121002266e-06 -0.06766171542398858 0.0011385033441686262 0.07203727184855313 -0.09301411080855013
-1.3877314260778184 0.3866818850906615 0.19315145264264458 0.9999999991455406 3056.736457735466 1.551252122346822 83.59244447946611 0.003128158350806223 0.7181294299127517 221.24418637093032 0.8778445449448515 -0.5750437412755447 -0.003957845658126843 1.7440044403570241e-06 -0.07021968136108034 0.0014621671111396106 0.06559395379171898 -0.09292216972438806
-1.3456031246050468 0.3736535988254758 0.17721182635033247 0.999999999971117 3777.2965466822175 1.7257997570281376 80.25375937029062 0.003355210915692008 0.7850428946498607 215.2081493290474 0.8376335095377293 -0.5739885701552718 -0.003746460395900891 2.0688465246954032e-06 -0.0687087857433962 0.0011872917145591636 0.07032873760072242 -0.10499537285297703
-1.3465769564360157 0.3735721308378258 0.1986522309549008 0.9999999999999893 2796.070836203868 1.4913351427759043 83.13324899138811 0.003027468665138121 0.7209025543699337 220.76451890264434 0.8980264729531217 -0.5753831836291788 -0.0036252174645798564 1.3909511249358946e-06 -0.07095587758278095 0.001367897181330562 0.06742894633277133 -0.09000956025390044
-1.379209360356685 0.38362193837736314 0.18685988921445718 0.9999999972592583 3744.188737983442 1.6907660999617393 82.01914654594384 0.0032934916456301656 0.7687357693099764 213.07915803780992 0.8539930146265486 -0.5289860333881635 -0.003948925917404325 1.2906097933513758e-06 -0.07977826640954558 0.0010299413615252407 0.07891126356243658 -0.09654174064577653
-1.3315450824914674 0.3694484788912671 0.19121948783939885 0.99999999999941 2970.017474805696 1.5486812295292545 84.8539350701584 0.0030017292647563 0.7186951823876015 217.11958442407735 0.90649527476805 -0.558518749101019 -0.003082632863281416 4.042612033005822e-09 -0.04212302139034014 0.0015608176387056417 0.055503166092265556 -0.08138125030633121
-1.3605374503946241 0.3794296473950057 0.19037525848537673 0.9999999999898331 2906.7778479432864 1.541856104492353 84.96104892143418 0.0029639254887749433 0.7230895827291266 219.14049353956696 0.90584714690115 -0.5458774303620038 -0.0036549436668804713 1.601278879296859e-06 -0.11905912227164003 0.0013368787415705733 0.07647366021687141 -0.08193052800473896
-1.3634165051163953 0.37860200087327267 0.19356356385693002 0.9999999999378615 3438.960187984065 1.6216696129260368 83.73529058241448 0.003166665164877229 0.7349267757588926 212.97822484524318 0.8803916946378909 -0.5240329892813074 -0.00398096853704491 1.3364594361633508e-06 -0.048285452770857606 0.0013958112468127103 0.06047287141860923 -0.08893873418754022
-1.3782958397477587 0.3829982959861774 0.18672998273191965 0.9999999999211497 3160.169877575496 1.5966275427571854 83.8186569157798 0.003051690805656527 0.7362640845175743 220.22767529183068 0.8866543240569611 -0.5683843597228077 -0.003285035384426579 7.643603840455768e-07 -0.10551073754671915 0.0010591023774604196 0.0832564607385619 -0.08603789647810539
-1.3884471144559796 0.3858895741719698 0.19642748208064414 0.9999999981949226 3380.983841673643 1.6001742354583282 82.22234386682543 0.003188325865929293 0.7324873075623688 211.07052497667394 0.8756442075416806 -0.557781099068193 -0.003900674317724729 2.571960161687306e-06 -0.06992663340551519 0.0010575999787134803 0.07821703460128726 -0.09544964046415819
